record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Other_students_kind_and_helpful,Parents_understand_problems,Were_underweight,Were_overweight,score
3,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Sometimes,Always,0,0,2
6,0,0,0,13 years old,1,0 times,1 to 3 times,Never,3 or more,Most of the time,Always,0,0,4
11,0,0,0,15 years old,1,0 times,1 to 3 times,Never,3 or more,Most of the time,Always,0,0,4
15,0,0,0,14 years old,0,0 times,0 times,Most of the time,3 or more,Sometimes,Never,0,0,9
23,0,0,1,13 years old,1,0 times,1 to 3 times,Most of the time,3 or more,Rarely,Always,0,0,35
24,0,0,0,14 years old,1,0 times,1 to 3 times,Most of the time,2,Always,Sometimes,0,1,7
32,0,0,0,13 years old,0,0 times,0 times,Never,3 or more,Most of the time,Always,0,0,3
34,0,0,0,14 years old,0,0 times,0 times,Never,3 or more,Always,Always,0,0,0
38,0,0,0,13 years old,1,0 times,8 to 11 times,Rarely,3 or more,Always,Rarely,0,0,7
40,0,0,1,13 years old,0,0 times,1 to 3 times,Rarely,3 or more,Most of the time,Most of the time,0,0,36
42,1,0,1,13 years old,1,0 times,1 to 3 times,Rarely,3 or more,Most of the time,Most of the time,0,1,66
43,1,0,0,15 years old,1,1 time,0 times,Never,3 or more,Never,Sometimes,0,0,37
44,0,0,0,14 years old,0,1 time,0 times,Never,3 or more,Always,Always,0,1,1
46,1,0,0,13 years old,0,0 times,0 times,Sometimes,3 or more,Rarely,Always,0,0,33
48,0,0,0,15 years old,0,1 time,0 times,Sometimes,3 or more,Sometimes,Always,0,0,5
49,0,0,1,14 years old,0,0 times,0 times,Rarely,3 or more,Sometimes,Sometimes,0,0,35
50,0,0,0,16 years old,1,0 times,0 times,Rarely,3 or more,Sometimes,Always,0,0,3
51,0,0,0,16 years old,1,0 times,0 times,Never,3 or more,Most of the time,Sometimes,0,0,5
53,0,1,1,14 years old,0,0 times,1 to 3 times,Rarely,3 or more,Sometimes,Most of the time,0,1,65
55,0,1,1,16 years old,1,4 or 5 times,1 to 3 times,Most of the time,0,Sometimes,Always,0,0,72
57,0,0,0,15 years old,1,0 times,0 times,Rarely,3 or more,Rarely,Rarely,1,0,5
58,0,0,0,15 years old,1,0 times,4 to 7 times,Rarely,3 or more,Most of the time,Always,0,0,6
59,0,0,0,16 years old,1,0 times,1 to 3 times,Never,3 or more,Most of the time,Always,0,0,4
60,1,0,0,15 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Sometimes,0,0,36
61,0,0,1,15 years old,0,0 times,0 times,Always,3 or more,Sometimes,Most of the time,0,0,37
62,0,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Sometimes,0,0,7
65,0,1,0,16 years old,0,0 times,0 times,Most of the time,3 or more,Most of the time,Always,0,1,36
67,0,0,0,14 years old,0,0 times,0 times,Never,3 or more,Always,Always,0,0,0
70,0,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Always,0,1,4
74,0,0,0,16 years old,1,0 times,0 times,Never,2,Most of the time,Always,0,0,4
76,0,0,0,16 years old,0,0 times,0 times,Sometimes,2,Sometimes,Sometimes,0,0,7
77,0,0,0,15 years old,0,0 times,0 times,Never,3 or more,Always,Sometimes,0,0,2
78,0,1,1,14 years old,0,0 times,0 times,Always,3 or more,Rarely,Rarely,0,0,68
79,0,0,1,15 years old,1,0 times,0 times,Always,3 or more,Always,Never,0,0,38
80,0,0,0,17 years old,0,0 times,0 times,Never,3 or more,Always,Never,0,0,4
81,0,0,0,16 years old,1,0 times,0 times,Sometimes,3 or more,Most of the time,Sometimes,0,0,7
82,0,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Never,0,1,9
85,0,0,0,15 years old,0,0 times,0 times,Rarely,3 or more,Sometimes,Sometimes,0,1,5
88,0,0,0,15 years old,1,0 times,0 times,Rarely,3 or more,Rarely,Rarely,0,1,5
89,0,0,0,15 years old,0,0 times,0 times,Most of the time,1,Sometimes,Always,0,0,7
95,0,0,1,17 years old,1,1 time,1 to 3 times,Sometimes,2,Sometimes,Most of the time,0,0,38
97,1,1,1,16 years old,0,1 time,1 to 3 times,Sometimes,3 or more,Sometimes,Always,0,0,96
99,0,0,0,16 years old,1,0 times,0 times,Sometimes,3 or more,Rarely,Most of the time,0,0,4
100,0,0,0,16 years old,1,0 times,0 times,Never,1,Rarely,Never,0,0,7
106,0,0,0,17 years old,0,0 times,0 times,Most of the time,2,Rarely,Always,0,0,5
107,0,0,1,15 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Rarely,0,1,37
110,0,0,0,17 years old,0,0 times,1 to 3 times,Always,1,Sometimes,Never,0,0,13
113,0,1,1,17 years old,1,1 time,1 to 3 times,Never,1,Sometimes,Most of the time,0,0,67
114,0,0,0,13 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Sometimes,0,0,6
115,1,0,0,12 years old,1,0 times,0 times,Rarely,2,Sometimes,Never,0,1,38
116,0,0,0,13 years old,1,1 time,1 to 3 times,Rarely,3 or more,Rarely,Sometimes,0,0,6
117,0,0,0,13 years old,1,0 times,0 times,Never,3 or more,Always,Always,0,1,0
118,1,0,0,13 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Sometimes,0,0,36
119,1,0,0,13 years old,0,0 times,0 times,Rarely,3 or more,Sometimes,Always,0,0,33
120,0,0,0,14 years old,1,0 times,0 times,Sometimes,3 or more,Rarely,Most of the time,1,0,4
121,0,0,0,13 years old,1,0 times,4 to 7 times,Never,3 or more,Most of the time,Never,0,1,9
122,1,1,1,13 years old,0,0 times,0 times,Most of the time,1,Always,Always,0,1,95
123,1,0,1,13 years old,0,0 times,0 times,Always,1,Sometimes,Never,0,1,72
124,0,1,1,13 years old,1,0 times,1 to 3 times,Never,3 or more,Most of the time,Always,0,1,64
125,0,1,0,14 years old,1,0 times,4 to 7 times,Never,3 or more,Most of the time,Rarely,0,1,38
126,1,0,1,13 years old,0,1 time,0 times,Most of the time,2,Most of the time,Never,0,0,72
129,1,1,1,14 years old,0,10 or more times,1 to 3 times,Always,3 or more,Sometimes,Most of the time,0,0,103
130,0,0,0,13 years old,1,0 times,4 to 7 times,Never,3 or more,Rarely,Sometimes,0,1,5
132,1,0,1,13 years old,0,0 times,0 times,Rarely,3 or more,Sometimes,Always,0,0,63
133,0,1,1,13 years old,0,0 times,1 to 3 times,Sometimes,3 or more,Sometimes,Sometimes,0,0,67
134,0,0,0,13 years old,1,0 times,4 to 7 times,Never,3 or more,Most of the time,Most of the time,0,1,6
137,0,0,1,13 years old,1,1 time,1 to 3 times,Rarely,3 or more,Sometimes,Sometimes,1,0,37
138,1,0,0,13 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Rarely,0,0,38
139,1,0,0,13 years old,0,0 times,0 times,Sometimes,1,Sometimes,Rarely,0,0,39
140,0,1,0,15 years old,1,0 times,0 times,Rarely,3 or more,Rarely,Never,0,0,36
141,0,0,0,14 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Most of the time,0,0,6
142,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Most of the time,Most of the time,0,1,4
144,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Always,Sometimes,0,1,2
145,0,0,0,15 years old,0,0 times,0 times,Never,3 or more,Most of the time,Always,0,0,3
147,0,0,0,14 years old,1,0 times,1 to 3 times,Never,2,Most of the time,Most of the time,0,0,6
148,0,0,0,14 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Always,0,0,5
149,0,0,0,14 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Always,0,0,5
150,0,0,0,14 years old,0,0 times,0 times,Sometimes,2,Never,Never,0,0,11
151,0,0,0,14 years old,1,0 times,0 times,Never,3 or more,Most of the time,Never,0,1,7
153,0,0,0,15 years old,0,0 times,1 to 3 times,Sometimes,3 or more,Most of the time,Most of the time,0,0,7
155,1,0,0,14 years old,1,1 time,0 times,Sometimes,0,Always,Sometimes,0,0,38
158,0,0,0,14 years old,1,0 times,1 to 3 times,Never,2,Never,Never,0,0,10
159,0,0,0,13 years old,1,0 times,0 times,Sometimes,3 or more,Rarely,Never,0,0,7
161,0,0,0,14 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Never,0,0,9
163,1,1,0,15 years old,1,0 times,0 times,Never,3 or more,Sometimes,Rarely,0,1,65
164,0,0,0,14 years old,1,0 times,0 times,Never,2,Rarely,Sometimes,0,1,4
166,0,1,1,15 years old,0,0 times,0 times,Most of the time,3 or more,Most of the time,Sometimes,0,0,68
167,0,1,1,14 years old,1,0 times,0 times,Never,3 or more,Most of the time,Sometimes,0,1,65
168,0,0,0,15 years old,1,0 times,0 times,Never,3 or more,Always,Sometimes,0,1,2
169,0,0,1,14 years old,1,0 times,0 times,Rarely,3 or more,Most of the time,Sometimes,0,1,36
170,0,0,0,14 years old,1,0 times,0 times,Rarely,3 or more,Always,Never,0,0,5
171,1,1,0,15 years old,0,0 times,0 times,Most of the time,2,Most of the time,Always,0,1,67
172,1,0,0,15 years old,0,0 times,1 to 3 times,Most of the time,3 or more,Always,Never,0,1,38
173,1,0,0,15 years old,0,0 times,0 times,Most of the time,3 or more,Always,Most of the time,0,0,34
174,1,1,1,15 years old,0,0 times,1 to 3 times,Most of the time,0,Rarely,Never,0,0,102
175,1,1,1,15 years old,0,2 or 3 times,0 times,Always,0,Rarely,Rarely,0,0,103
177,1,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Rarely,0,0,38
178,0,1,0,15 years old,1,2 or 3 times,1 to 3 times,Rarely,3 or more,Most of the time,Always,0,0,37
179,0,0,0,15 years old,0,0 times,0 times,Most of the time,2,Sometimes,Rarely,0,1,9
181,0,0,0,15 years old,1,0 times,1 to 3 times,Always,0,Rarely,Never,0,0,13
182,0,0,0,15 years old,1,0 times,0 times,Never,3 or more,Most of the time,Never,0,1,7
185,0,0,0,15 years old,1,0 times,0 times,Rarely,3 or more,Always,Rarely,0,0,4
186,1,0,0,15 years old,0,0 times,0 times,Never,3 or more,Sometimes,Always,0,0,32
187,0,0,0,15 years old,0,2 or 3 times,4 to 7 times,Sometimes,3 or more,Most of the time,Most of the time,0,1,10
188,1,1,0,15 years old,0,4 or 5 times,1 to 3 times,Sometimes,2,Sometimes,Always,0,0,69
189,0,1,0,15 years old,1,2 or 3 times,4 to 7 times,Sometimes,3 or more,Most of the time,Never,0,0,43
190,1,0,0,16 years old,1,0 times,0 times,Sometimes,2,Never,Always,0,0,37
191,1,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Rarely,0,0,37
192,0,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Sometimes,0,0,7
193,0,0,0,15 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Most of the time,0,1,5
194,1,0,1,16 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Rarely,0,1,68
195,1,1,1,15 years old,1,0 times,0 times,Rarely,1,Most of the time,Sometimes,0,0,98
196,1,0,1,15 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Rarely,0,0,68
197,0,1,1,15 years old,0,4 or 5 times,4 to 7 times,Sometimes,3 or more,Rarely,Never,0,1,72
200,0,0,0,16 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Always,0,1,4
201,1,1,1,16 years old,1,0 times,0 times,Never,2,Sometimes,Never,0,0,97
202,0,0,1,16 years old,0,0 times,0 times,Sometimes,3 or more,Always,Never,0,1,36
